PMID,Study Type,Disease Name,External Validation,Date Range in the Development Set,Date Range in the Validation Set,Median Follow-up Time (Years) and IQR,Mean Follow-up Time (Years) and Standard Error,Data Sources,Sample Characteristics,Number of Cases in the Development Set,Number of Controls in the Development Set,Number of Cases in the Validation Set,Number of Controls in the Validation Set,Number of Female Participants (Development),Number of Female Participants (Validation),Number of Male Participants (Development),Number of Male Participants (Validation),Age Range (Development),Age Range (Validation),Average Age and Standard Deviation (Development),Average Age and Standard Deviation (Validation),Median Age (Development) and IQR,Median Age (Validation) and IQR,Racial/Ethnic Composition (Development),Racial/Ethnic Composition (Validation)
36772237,Retrospective secondary data analysis,Coronary artery disease (CAD),No,N/A,N/A,N/A,N/A,Publicly available dataset,"Participants with smoking, hypertension, stroke, diabetes, and blood pressure medication use","556 (original), 3099 (SMOTE)","3099 (original), 3099 (SMOTE)",N/A,N/A,"2033 (original), 2805 (SMOTE)",N/A,"1622 (original), 3393 (SMOTE)",N/A,32–70 years,N/A,"49.5 years (SD: 8.56) (original), 51.5 years (SD: 8.34) (SMOTE)",N/A,N/A,N/A,N/A,N/A
39553308,Retrospective study,Coronary artery disease (CAD),No,N/A,N/A,N/A,N/A,"GEO database (GSE113079, GSE59421)",Patients with coronary artery disease (CAD),93,48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35983181,Retrospective study,Carotid atherosclerosis (CAS),Yes,2020,2015,N/A,N/A,"Electronic medical record system of Zhenhai Lianhua Hospital, Ningbo, China","Adults undergoing health checkups with conditions such as diabetes mellitus, hypertension, smoking history, and drinking history",3813,757,2039,752,1560,888,3010,1903,19–93 years,N/A,60.35 years (SD = 14.29),59.90 years (SD = 13.36),N/A,N/A,N/A,N/A
33936038,Cross-sectional study,Atherosclerosis in systemic lupus erythematosus (SLE),No,2019,N/A,N/A,N/A,"Chinese SLE Treatment and Research Group (CSTAR) registry, Peking Union Medical College Hospital","SLE patients, age >18 years, no active infection/tumor/severe SLE/CVD before SLE, using medications (e.g., statins, corticosteroids), some smokers, postmenopausal females, long disease duration, organ damage",20,47,N/A,N/A,63,N/A,4,N/A,N/A,N/A,N/A,N/A,42.7 years (IQR: 36.6–51.2),N/A,100% Chinese,N/A
36581881,Retrospective and Prospective,Sepsis,Yes,MIMIC-III: 2001–2012; HDRJH: 2011–2019,HDRJH: 2011–2019; Real-world: 2021,N/A,N/A,"MIMIC-III (Beth Israel Deaconess Medical Center, USA), Historical Database of Ruijin Hospital (HDRJH, China), Real-world data from Ruijin Hospital ICU (China)",ICU patients; sepsis (infection + SOFA score) or non-sepsis; some received antibiotics or mechanical ventilation,1201,6143,HDRJH: 144; Real-world: 22,HDRJH: 309; Real-world: 46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34255071,Prospective study,Second Primary Lung Cancer (SPLC),Yes,1993–2017,N/A,2.2 years (IQR: 0.2–2.6),N/A,"Multiethnic Cohort (MEC), Surveillance, Epidemiology, and End Results (SEER) registries, Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO), National Lung Screening Trial (NLST)",Ever-smokers with initial primary lung cancer (IPLC) diagnosis,145,6180,PLCO: 101; NLST: 93,PLCO: 2862; NLST: 2751,2529,PLCO: 1132; NLST: 1202,3796,PLCO: 1831; NLST: 1642,<55–≥80 years,PLCO: 55–≥80 years; NLST: 55–≥80 years,74.2 years (SD: 8.2),PLCO: 71.5 years (SD: 6.4); NLST: 68.4 years (SD: 6.1),N/A,N/A,"White: 25.2%, Japanese American: 21.5%, African American: 27.4%, Latino: 13.0%, Native Hawaiian: 8.4%, Others: 4.5%","PLCO: White: 88.4%, Asian: 2.4%, African American: 7.0%, Latino: 1.3%, Others: 1.0%; NLST: White: 90.6%, Asian: 1.6%, African American: 5.0%, Latino: 1.2%, Others: 1.6%"
33659912,Retrospective study,Sepsis,No,2000–2016,N/A,N/A,N/A,Cerner Health Facts database,Hospitalized adult patients (≥18 years) with proven or suspected infection and two or more SIRS criteria for sepsis cases,52802,126041,N/A,N/A,91459,N/A,87384,N/A,18–100 years,N/A,N/A,N/A,N/A,N/A,"African American: 17.8% (11,084 cases + 20,556 controls), Asian: 1.5% (1,085 cases + 1,627 controls), Caucasian: 72.7% (35,059 cases + 95,657 controls), Others/unknown: 7.8% (5,574 cases + 8,201 controls)",N/A
39076472,Retrospective study,Heart Failure (HF),No,N/A,N/A,N/A,N/A,Taiwan’s National Health Insurance Research Database (NHIRD),"Patients with HF diagnoses (experimental group) and non-HF participants (control group), matched for sex and age",8500,21786,N/A,N/A,16287,N/A,13765,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39611013,Retrospective study,Acute Ischemic Stroke (AIS),No,2017-2021,N/A,N/A,N/A,Liuzhou Traditional Chinese Medicine Hospital (stroke green channel timing control system and electronic medical record system),"Patients with AIS, some with history of hypertension, cerebral infarction, cerebral artery occlusion, or carotid atherosclerosis",114,409,N/A,N/A,186,N/A,337,N/A,N/A,N/A,N/A,N/A,68 years (IQR: 59–76),N/A,N/A,N/A
34860663,Retrospective study,Stroke,No,2011–2015,N/A,N/A,N/A,National Health and Nutrition Examination Survey (NHANES),"Participants with and without stroke; no specific disease background, surgeries, treatments, or conditions like pregnancy or smoking explicitly mentioned",608,3578,N/A,N/A,190,N/A,220,N/A,N/A,N/A,N/A,N/A,51 years (IQR: NA),N/A,N/A,N/A
37970129,Retrospective study,Gestational diabetes mellitus (GDM),Yes,2020-2022,N/A,N/A,N/A,N/A,Pregnant women,197,209,N/A,N/A,406,N/A,0,N/A,22–43 years,N/A,31.17 years (SD: 4.02),N/A,N/A,N/A,N/A,N/A
36456970,Retrospective study,Gestational diabetes mellitus (GDM),No,2019-2021,N/A,N/A,N/A,First Affiliated Hospital of Jinan University and Jiangmen Maternity and Child Health Care Hospital,Pregnant women with singleton pregnancy,Basic: 1294; Extended: 910,Basic: 1601; Extended: 1206,N/A,N/A,Basic: 2895; Extended: 2116,N/A,0,N/A,N/A,N/A,N/A,N/A,Basic Training: 30.0 years (IQR: 27.0–32.0); Basic Validation: 30.0 years (IQR: 27.0–32.0); Extended Training: 30.0 years (IQR: 27.0–32.0); Extended Validation: 29.0 years (IQR: 27.0–32.0),N/A,N/A,N/A
34233656,Retrospective study,Alzheimer’s Disease (AD),Yes,2018-2019,2018-2019,N/A,N/A,Medical records from People’s Hospital of Xinjiang Uygur Autonomous Region,"Elderly patients (≥60 years old), some with AD, others without; health conditions include midlife hypertension, diabetes, herpesvirus infection, stroke, traumatic brain injury, depression; lifestyle factors include smoking, exercise, diet, alcohol consumption",416,408,139,136,281,107,543,168,N/A,N/A,66.82 years (SD = 4.01),66.94 years (SD = 4.23),N/A,N/A,N/A,N/A
32324812,Retrospective study,Alzheimer’s Disease (AD),No,N/A,N/A,N/A,N/A,National Institute on Aging—Late-Onset Alzheimer’s Disease Family Study: Genome-Wide Association Study for Susceptibility Loci (phs000168.v2.p2) from the National Center for Biotechnology Information (NCBI) through the Genotypes and Phenotypes database (dbGaP),"Cases: Diagnosed with Definite AD by neuropathological criteria or Probable AD by NINCDS-ADRDA criteria, age at diagnosis ≥ 60 years. Controls: No cognitive deterioration or memory loss, no history of psychiatric or neurological disorders.",813,1017,N/A,N/A,N/A,N/A,N/A,N/A,≥ 60 years,N/A,N/A,N/A,N/A,N/A,European-American,N/A
35365675,Retrospective study,Parkinson’s disease (PD),Yes,N/A,N/A,N/A,N/A,AMP PD Knowledge Platform (PPMI and PDBP datasets),"Unmedicated PD cases within 1 year of diagnosis (PPMI), PD cases within 5 years of diagnosis regardless of medication status (PDBP), controls unaffected by neurologic diseases",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"PPMI Case: 61.75 years (SD: 9.69), Control: 60.61 years (SD: 10.43)","PDBP Case: 64.59 years (SD: 8.99), Control: 62.87 years (SD: 10.96)",N/A,N/A,Primarily European ancestry,Primarily European ancestry
34745218,Retrospective study,Parkinson's disease,No,N/A,N/A,N/A,N/A,Parkinson’s Progression Marker Initiative (PPMI) dataset,N/A,296,140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34528757,Retrospective study,Heart failure,No,2002–2006,N/A,N/A,N/A,"VA Corporate Data Warehouse (CDW), linked to Centers for Medicaid and Medicare Services (CMS) and National Death Index (NDI) databases","Patients with at least one primary care visit at a VA facility, at least one outpatient lipid result between 2002 and 2007, and a blood pressure measurement within 30 days of lipid testing; excluded individuals with severe comorbidities (cancer, dialysis, major mental health disorder), non-white or non-black race, heart failure before or within 30 days of baseline, or death within 30 days of baseline",HFpEF: 52679; HFrEF: 71463,1361773,N/A,N/A,36573,N/A,1319113,N/A,40–80 years,N/A,White men: 63.6 years (SD: 9.7); Black men: 57.3 years (SD: 10.3); White women: 56.5 years (SD: 11.4); Black women: 49.3 years (SD: 7.4),N/A,N/A,N/A,"White: 1,179,286 (86.6%); Black: 183,327 (13.4%); Hispanic or Latino: 57,846 (4.2%)",N/A
35141294,Retrospective study,Hypertension,Yes,2018,N/A,N/A,N/A,"Community hypertension clinics in 5 communities in Guangzhou and Dongguan, China",Patients with a history of hypertension receiving antihypertensive medicines,452,587,N/A,N/A,470,N/A,549,N/A,N/A,N/A,61 years (SD = 13),N/A,N/A,N/A,N/A,N/A
35896590,Prospective study,Hypertension,No,N/A,N/A,5.8 years (IQR: NA),N/A,"Alberta’s Tomorrow Project (ATP) cohort data, linked with Alberta’s administrative health data","Participants aged 35–69 years, without any history of cancer (other than non-melanoma skin cancer), free of hypertension at baseline",416,"11,817",N/A,N/A,"8,396",N/A,"3,837",N/A,35–70 years,N/A,50.99 years (SD: 0.07),N/A,N/A,N/A,"Aboriginal: 0.37%, Asian: 4.51%, White: 92.21%, Latin American Hispanic: 0.89%, Black: 0.53%, Other: 1.49%",N/A
41987941,Other,Lung cancer,No,N/A,N/A,N/A,N/A,Nine real-world lung cancer cohorts: Vanderbilt Lung Screening Program (VLSP); LI-VUMC longitudinal imaging and biomarker cohort at Vanderbilt University Medical Center; MCL-VUMC; MCL-UPMC; MCL-UCD; MCL-DECAMP; BRONCH diagnostic bronchoscopy cohort; NLST-test; NLST-test-nodule.,"Patients from lung cancer screening, longitudinal imaging/biomarker, incidental nodule, diagnostic bronchoscopy, and NLST-derived cohorts. Cohorts included structured metadata, chest CT imaging, diagnostic labels, and CT-derived imaging features. CT scans with severe imaging artifacts, slice thickness >=5 mm, or incomplete lung fields were excluded. The study included 3,750 patients; a random 30% held-out internal validation set included 1,123 patients, but no independent external validation cohort was reported.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41957866,Prospective cohort validation/performance comparison study,Breast cancer,Yes,N/A,"2001-2020; four 5-year intervals: 2001-2005, 2006-2010, 2011-2015, and 2016-2020",N/A,N/A,"Black Women’s Health Study (BWHS), a prospective cohort of self-identified Black women from all regions of the United States; incident breast cancers identified by self-report and linkage to state cancer registries and the National Death Index.","Self-identified Black women. Overall BWHS enrolled 59,000 women aged 21-69 in 1995. For each 5-year validation interval, participants aged 30-70 were included if they had not been diagnosed with invasive breast cancer at the start of that interval. Exposures and outcomes were updated through biennial questionnaires; age-/time-dependent predictors were updated at the start of each interval. The article reports 50,235 Black women and 2,041 invasive breast cancers, while table titles report analyses among 52,901 participants; discrepancy retained as reported.",N/A,N/A,"2,041 invasive breast cancers",N/A,N/A,"50,235 or 52,901 Black women reported in different sections; 100% women by study design",N/A,0 by implication of women-only cohort; explicit male count N/A,N/A,BWHS enrollment age 21-69 in 1995; validation intervals included participants aged 30-70 at interval start,N/A,N/A,N/A,N/A,N/A,Self-identified Black women; no further racial/ethnic subgroup distribution reported
41299673,Cross-sectional study / nationally representative survey-based observational study,Colorectal cancer (CRC),No,1999-2018,N/A,N/A,N/A,"National Health and Nutrition Examination Survey (NHANES), CDC/NCHS, survey cycles 1999-2018; components included sociodemographic information, dietary/lifestyle questionnaire data, clinical examination results, laboratory measurements, and Medical Conditions Questionnaire cancer history.","Adults aged >=20 years from NHANES 1999-2018. Excluded participants under 20 years, lacking confirmed malignancy status, with incomplete biomarkers required for ALI calculation (neutrophil count, lymphocyte count, serum albumin, or BMI), or with missing covariates. CRC cases were self-reported doctor-diagnosed colon or rectal cancer. Final analytical cohort included 37,952 participants from 101,316 selected NHANES subjects; ML random split used 28,464 training and 9,488 held-out internal test participants.",259,"37,693",N/A,N/A,"18,835 full analytical cohort; no CRC group female 18,706; CRC group female 129",N/A,"19,117 full analytical cohort; no CRC group male 18,987; CRC group male 130",N/A,>=20 years eligibility; exact age range N/A,N/A,Full cohort mean 47.090 years (SE 0.210); no CRC mean 46.982 years (SE 0.210); CRC mean 68.581 years (SE 1.127),N/A,N/A,N/A,"Full cohort: Mexican American 6,472 (7.829%); Non-Hispanic Black 7,507 (10.094%); Non-Hispanic White 17,812 (70.661%); Other Hispanic 2,977 (5.035%); Other Race 3,184 (6.380%). CRC group: Mexican American 17 (1.760%); Non-Hispanic Black 44 (7.817%); Non-Hispanic White 177 (85.706%); Other Hispanic 13 (2.444%); Other Race 8 (2.273%).",N/A
41883289,Prospective cohort study (UK Biobank); observational cohort replication/external validation (Penn Medicine Biobank),Prostate cancer (PrCa),Yes,UK Biobank enrollment 2006-2010; median follow-up approximately 12.2 years,Penn Medicine Biobank EHR data 2003-2019; median follow-up approximately 7.0 years,UKBB approximately 12.2 years; PMBB approximately 7.0 years,N/A,"UK Biobank (UK) for development; Penn Medicine Biobank (PMBB, USA) for external validation/replication.","Male participants only; prevalent prostate cancer at baseline excluded. T2DM status determined using ICD codes, laboratory data (HbA1c >=6.5%), and self-report; type 1 diabetes excluded. Participants required genetic data and, for PMBB, at least one medical history record.",8114,122836,1041,16929,0,0,130950,17970,N/A,N/A,UKBB mean 56.3 years (SD 8.1),PMBB mean 58.3 years (SD 14.4),N/A,N/A,European descent / White-British,"PMBB: European descent 14,279; African American 3,691"
42015082,Retrospective dual-center study,Coronary heart disease (CHD),Yes,N/A,N/A,N/A,N/A,Two centers in China: Yan'an Hospital Affiliated to Kunming Medical University and Sixth Affiliated Hospital of Kunming Medical University.,"Patients with diabetes mellitus; model designed to predict coronary heart disease risk among DM patients. The article reports 12,124 clinical samples from two centers, with internal validation using a test set and 10-fold cross-validation and separate external validation. Other eligibility criteria, disease duration, prior surgeries, treatments, exposures, and detailed clinical conditions were not explicitly reported in the provided text.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41861086,Cross-sectional study,Hypertension,No,2024-12-10 to 2025-02-10,N/A,N/A,N/A,"Community-based survey data from Dinajpur District, northern Bangladesh; four randomly selected upazilas: Dinajpur Sadar, Birganj, Parbatipur, and Nawabganj; blood pressure measurements from certified/accredited diagnostic centers within the preceding month.","Adults aged >=30 years with recent blood pressure measurement available from a certified diagnostic center within the prior month. Included previously diagnosed and undiagnosed hypertension cases. Excluded participants without recent blood pressure measurement, incomplete or missing blood pressure records, or inconclusive health information. Data included sociodemographic, behavioral, medical history, comorbidity, anthropometric, and hypertension treatment/control characteristics. Stratified 70/30 split: training 718 participants, testing/internal validation approximately 308 participants.",N/A,N/A,N/A,N/A,503,N/A,523,N/A,>=30 years; age groups: 30-39 years 349 (34.1%); 40-49 years 291 (28.3%); 50-59 years 201 (19.6%); 60-69 years 128 (12.4%); >=70 years 57 (5.6%),N/A,N/A,N/A,N/A,N/A,N/A,N/A
42037684,Other,Stroke,No,N/A,N/A,N/A,N/A,N/A,"Adults after excluding participants younger than 18 years old; BMI outliers excluded (BMI >50 kg/m2 or <10 kg/m2); subject ID excluded as redundant. Baseline characteristics reported included age, sex, history of hypertension, history of heart disease, current smoking status, marital status, work type, rural residence, glucose level, and body mass index.",781,35078,N/A,N/A,N/A,N/A,"13,908 overall; stroke cases male 352; non-stroke male 13,556",N/A,N/A,N/A,Overall mean 49.3 years (SD 17.8); stroke subgroup mean 68.3 years (SD 11.9); non-stroke subgroup mean 48.9 years (SD 17.6),N/A,N/A,N/A,N/A,N/A
42039745,Retrospective cohort study,Sepsis,Yes,N/A,N/A,N/A,N/A,"Development/internal validation data source: Affiliated Huai'an No. 1 People's Hospital of Nanjing Medical University. External validation data source: Affiliated Huai'an Hospital of Xuzhou Medical University. Overall study analyzed 2,001 patients.","Patients with laboratory-confirmed multidrug-resistant Pseudomonas aeruginosa infections. Reported characteristics included demographic variables, laboratory findings, treatments/interventions, comorbidities, infection sites, acute organ injury, and complications, including prior antibiotic exposure, immunosuppression, invasive catheters, mechanical ventilation, vasoactive medications, renal replacement therapy/CRRT, CKD, COPD, secondary infections, MODS, ARDS, coagulopathy, intra-abdominal infection, urinary tract infection, pneumonia, and other infection sites. Derivation cohort included 1,182 patients; training cohort 827 and internal validation/test cohort 355. External validation cohort included 819 patients.",58,769,N/A,N/A,196,N/A,631,N/A,N/A,N/A,N/A,N/A,Training cohort median age 68.00 years (IQR 57.00-77.00); non-sepsis median 68.00 (IQR 57.00-77.00); sepsis median 69 (IQR 57.00-75.00),N/A,N/A,N/A
